name,class,A,beta,gamma,t_0,tau_rise,tau_fall,extra_sigma,A_green,beta_green,gamma_green,t_0_green,tau_rise_green,tau_fall_green,extra_sigma_green
ZTF20abyxjvm,SN IIn,35.09483012054974,0.008509273007411021,62.81864655587475,59035.22515692585,34.28129354225715,183.28355786645926,0.4563256550833534,1.027369384516754,1.0327736226080737,1.4268117311166784,0.9994286234651536,0.9572883929523968,0.5233297585531234,0.7812688775156544
ZTF20abyyfmw,SN Ia,133.44684076756533,0.0029976536449922726,11.470980243711304,59108.383363082976,2.8924301645819503,25.26674918333859,3.369101422597432,1.0277554739056027,1.0404692472937,0.2514312972661997,0.9999837936284078,0.9573057639634814,0.5203223306850896,2.050719660698118
ZTF20abyylgi,SN II,100.34699264749679,0.005958890428167005,6.313477019697205,59279.36438401806,3.5697404483445427,53.734298181270795,17.98401703199029,1.0280428212849273,1.0354355044906003,1.0263370086482229,1.002932030055128,0.9845680369559304,0.5232288595807768,0.026500787058191904
ZTF20abyyvrw,SN Ia,237.328802404708,0.0085514791300398,102.4855897804357,59089.13128474291,7.092129199595998,73.71167414736911,2.622109488017543,1.027629290552316,1.0359109993607831,0.6417109057863117,1.00017902885538,0.9552496498875338,0.5241594958702329,0.06943011386207416
ZTF20abyzgzj,SN Ia,34.87184366360823,0.0035160161931277385,14.826693726913705,59104.906787317166,6.216270708598923,16.79110030748174,0.795503099708294,1.024839021116156,1.0356842653472933,0.5686019318519533,1.0000190497977388,0.9596816120269814,0.5228352519553646,1.126158845958324
ZTF20abyzomt,SN II,212.05259419940967,0.007720643321999333,76.30381381074031,59020.0277053522,32.720359738809094,95.3360901440744,0.5096875872996264,1.0245961467048375,1.0393444961654936,1.52047573547677,0.9998190629858351,0.9546027626351671,0.516235884594427,0.8304696845542066
ZTF20abyzoof,SN II,16.167859414038823,0.0008388584446499386,118.14143994348537,59074.2173940575,26.536595166552896,97.40347146920101,0.2589274205438533,1.0328288321310546,1.0338181625538123,0.39851606054466415,1.0006722144953466,0.95116126136589,0.5183545282512095,0.9015819811240285
ZTF20abyzprl,SN II,25.779405152199452,0.0033459283615071256,95.43872170407371,59104.959461472026,5.650965073418426,62.670784187948044,0.17670001494551751,1.0148403627185825,1.0410206833121887,0.8291682356463795,1.001011106921906,0.9059610397180637,0.5013819478458572,0.9905897498914638
ZTF20abzbfct,SN Ia,72.84445753597328,0.0034067890519786,20.824573856408776,59112.60336927235,2.946003719260495,26.937279508750244,2.584985862361256,1.0244109813884936,1.0427028950103892,0.189869403693881,0.9999846546498043,0.9422832283621821,0.5215243189826143,1.6663862482001006
ZTF20abzcokv,SN Ia,32.49335080237752,0.005211416541249691,14.678061715650205,59107.76264742405,3.4507422293215546,18.08606535043415,1.4044957323059126,1.0298456629869042,1.0358777936863008,0.6072491152923867,1.0000062589036054,0.9709510665025192,0.5238433349304874,1.1222600451990414
ZTF20abzcsbt,SN Ia,77.85838733361493,0.0018236769087859883,13.534724571802274,59107.899200965534,3.238228008821169,24.82934648750412,3.5635377488895874,1.0415217797846932,1.088144066024245,0.3592658197434202,0.9999658664392931,0.7307226393634789,0.5529538106763527,1.9646867315488037
ZTF20abzjads,SN Ia,38.767900631549594,0.0053166046311282624,8.76740529942029,59112.54530866032,3.7571820053971328,21.66111692019797,1.2796313058566562,1.0207203459438046,1.029005893759178,0.8485692548663109,1.0000308162931035,0.9445169946060932,0.5226498983206807,1.4239428480563796
ZTF20abzjoxd,SN IIn,29.23394140921663,0.004512424385931135,4.4838664368510335,59133.35696797684,35.65071081955266,29.661423875316174,2.0980139776694453,0.8138457467479818,0.8111800732608399,0.7156526277789643,1.000080018324233,0.8450429687482466,0.6022578534322213,0.865219855871354
ZTF20abzjvse,SN Ia,37.54856821675124,0.004229326014628714,13.684231448258641,59113.49276835018,3.315119103545091,22.286148580061877,1.320367889768788,1.0218064253603583,1.0411658942891828,0.5956547589226251,1.000017228933698,0.9595836470430775,0.5170459342699163,1.6567846469217213
ZTF20abzoaas,SN II,59.47256262536938,0.0034654430930880224,95.80195672359022,59070.32423725382,7.275272452999343,46.81414747323953,0.7035481337504368,1.0325683386212514,1.0293640314477712,0.6767563389586774,1.000355167627167,0.9535148637787703,0.5261304130798271,1.053281967140473
ZTF20abzpxxu,SN Ia,19.80977458754664,0.0027582783329447363,14.84348524984076,59110.858057502,4.4215107892657155,16.89383588934549,0.3647181331565927,1.029888324353034,1.026926852321254,0.5235414836226391,1.0000129188119522,0.9546591424317403,0.5203116387966915,0.9311023440152075
ZTF20abzvxyk,SN Ia,19.25898638606199,0.004556312224483945,15.273565144794922,59111.66533333383,3.894988251446457,19.520938278801637,0.16529159840783025,1.0319788327163972,1.0386998154760927,0.526729615477135,0.9999986555970031,0.9418174910608177,0.5181499067640407,0.8456127514270034
ZTF20acauthg,SN Ia,30.33929354499805,0.006819217402319928,28.566053924412426,59108.65229802949,9.375018166208944,85.99342883896833,3.6006585063143595,1.1075363385530663,0.9291383841937754,1.1453613043402937,1.0004072506215864,1.1165822831662042,0.45978565141619804,1.18554350558284
ZTF20acbcfaa,SLSN-II,33.874413376575205,0.007966031830446344,60.50704471675195,59150.392530517056,23.419585009812124,182.5210747175541,0.35682289663767186,1.0258445288975016,1.034834904815818,1.1971332345724401,0.9999491095796094,0.9636531139937266,0.5220341279385828,0.8355198932491223
ZTF20acbeanu,SN Ia,42.010302523822176,0.0050824071548667485,9.808703369073157,59114.695722352655,3.239584681343298,14.249615377103634,1.1475359240816783,1.0452114470388123,1.0517688385976531,0.7885142709923743,1.0000157118372284,0.939244232019735,0.530417206710659,0.9847575685662289
